label	ITGB6	GALNT3	BRI3BP	MCM5	DTX3L
0	1.389722109	-0.363072634	-0.481429696	-0.72360301	0.449073493
1	1.757023573	0.509698033	0.65558368	0.311365366	1.448917508
0	0.755096078	-0.383395791	0.197955489	-0.877596259	1.142197371
1	2.222708225	0.394512296	0.509539425	0.181030601	1.415262341
0	1.511705756	-0.20593524	-0.194386005	-0.716657996	0.602406383
1	0.876603842	0.882348061	0.794070005	-0.430785805	1.413268805
0	1.312304497	1.42109561	-0.225421369	-1.008647084	-0.198726892
1	3.22437501	2.210706234	0.459474206	0.432320595	1.478561997
0	1.522442102	1.222111702	-0.025903463	-0.713112712	-0.349116683
1	3.51038456	2.018585443	0.441347659	-0.166651249	0.146727502
0	1.31445694	1.317853689	-0.230893224	-0.921367526	-0.247123569
1	3.668326855	1.975747943	0.409475416	-0.317910612	-0.056257352
0	1.438143969	1.531617522	-0.237925768	-0.890935421	-0.120487809
1	3.162819862	2.347416162	0.524303436	0.156494275	1.113045573
0	2.060482502	1.446422219	-0.038340092	-0.706419587	0.340676308
1	3.386044264	1.69483161	0.422785997	0.209594876	1.178099871
0	0.255840391	0.402458787	-0.70724535	-0.995586395	0.881573677
1	1.703639269	2.201894999	0.066848576	-0.111548603	2.090822458
0	0.362104177	1.631441236	-0.117213488	-1.07403779	0.859544039
1	2.531538963	2.034465313	0.942379892	-0.001134485	2.887983084
0	0.670817375	0.672587693	-0.730846107	-1.178159952	1.192649722
