label	GBP1	BRI3BP	OCIAD2	DTX3L
0	0.525909483	-0.593669534	0.18700099	1.271166325
1	1.202207685	0.446386546	1.328198552	2.151527882
0	0.350644559	-0.478453994	0.291175574	1.176956773
1	0.377488226	0.895461679	1.359796286	1.916408062
0	0.495538682	-0.471106738	0.084361702	1.414265513
1	2.341270685	0.46856004	0.143462315	1.964579344
0	0.453439653	0.228787601	-1.052128315	0.654044807
1	1.445579886	0.749332845	0.056070253	1.464358807
0	1.055441976	-0.371643752	-0.423790306	0.631161273
1	2.338764429	0.131255239	1.108554602	1.931423903
0	0.600597203	-0.481429696	-0.463075638	0.449073493
1	2.611039162	0.65558368	1.261803031	1.448917508
0	0.839292109	0.197955489	-0.158960104	1.142197371
1	1.588299036	0.509539425	0.760209799	1.415262341
0	0.679260015	-0.194386005	-0.406131864	0.602406383
1	1.389948487	0.794070005	0.286506414	1.413268805
0	0.196708471	-0.225421369	0.246952444	-0.198726892
1	3.593068361	0.459474206	1.835121274	1.478561997
0	0.186183691	-0.025903463	0.115234911	-0.349116683
1	1.442593694	0.441347659	0.36703521	0.146727502
0	0.151390165	-0.230893224	0.258624464	-0.247123569
1	0.405780971	0.409475416	1.147159696	-0.056257352
0	-0.015089273	-0.237925768	0.274913788	-0.120487809
1	2.364896774	0.524303436	0.332375139	1.113045573
0	1.399321079	-0.038340092	0.080484271	0.340676308
1	2.080374241	0.422785997	0.476486564	1.178099871
0	0.254817337	-0.70724535	-0.310089588	0.881573677
1	0.655593812	0.066848576	0.75385499	2.090822458
0	-0.388921618	-0.117213488	-0.262727499	0.859544039
1	2.190041065	0.942379892	1.649876595	2.887983084
0	0.179148316	-0.730846107	0.283786058	1.192649722
1	0.611323833	0.650449395	1.27442944	1.656651139
0	0.094197869	-0.530681789	0.019517124	1.02484858
1	0.45684132	0.241122365	1.321822643	1.453149199
0	0.478513479	-0.490155607	-0.18159166	1.472124457
1	2.84776926	0.764425576	1.259601593	2.120051384
0	0.674311459	-0.93426621	0.785147071	0.990023077
1	1.394047022	0.720657647	1.100739717	1.968382478
0	0.498057783	-1.28927803	0.346023172	0.795610428
1	2.768171549	0.642317295	0.442062497	2.061696291
0	0.344721019	-0.618857026	0.575315475	0.774441123
1	0.34048295	-0.139464378	0.592624605	1.020363569
0	0.24534595	-1.020600677	0.355311453	0.686551213
1	0.939252615	0.024177231	0.248956874	1.877280951
0	1.614035964	-0.090512887	0.980306268	1.406782508
1	0.594589829	-0.413034916	0.495976925	0.698543668
0	0.518954515	-0.433271646	-0.315909863	0.752598822
1	1.680243254	-0.664151788	0.048548996	1.447991371
0	0.125671744	-0.263789415	-0.338191152	0.698741913
1	1.035886407	0.155947506	0.625130653	1.223280311
0	-0.253507912	-0.812644422	-0.259681761	0.451995105
1	2.087926865	0.239010438	1.106305003	1.699391127
0	0.204820991	-0.453660369	-0.546969891	0.575400651
1	0.35486865	0.376603484	1.254031062	0.871050417
0	0.133517265	-0.453405738	-0.237323523	0.468422353
1	1.546917558	0.306911409	0.63380444	2.049782753
0	0.290254384	-0.235984653	-0.035296708	0.441471875
1	2.741260767	0.581771314	1.631989956	1.486831784
0	0.955172777	0.064450979	0.168911248	0.974503636
1	2.926216841	0.5042665	0.799215853	1.391599059
0	0.135797292	-0.250832886	-0.129206628	0.617291391
