label	ABRACL	MCM3	HIST1H2BK	OCIAD2	U2AF1L5
0	0.504695773	-1.496491194	-2.683303595	-0.035296708	-1.030184388
1	0.693481028	-0.158667922	-2.47946167	1.631989956	-0.510166645
0	0.365969479	-1.472346067	-2.0423069	0.168911248	-1.002891064
1	1.113752604	-0.73846662	-0.802330673	0.799215853	-0.279963017
0	0.298756361	-1.379949927	-2.711356163	-0.129206628	-1.20233655
1	0.635640621	-0.248636156	-1.042058229	0.902297854	-0.268189341
0	0.128450334	-1.488449574	-2.626466513	-0.157753289	-1.160195589
1	0.730126023	-1.112000704	-3.854767323	0.609839797	-0.487255991
0	0.124460697	-0.959930599	-1.003051996	0.085003614	-0.706426322
1	-0.074951932	0.210487768	0.135881007	1.880746007	-0.25746125
0	-0.57197392	-1.201974273	-0.747259259	0.052309602	-0.710067391
1	0.697015762	-0.964592159	-0.616955042	0.37582311	-0.48529923
0	0.320366502	-1.464142561	-0.592435658	0.188158035	-0.652024686
1	0.66047287	-0.49115181	-0.049928784	0.720097899	-0.408379972
0	0.15898478	-1.557871819	-0.319606662	0.190291107	-0.842243195
1	0.211817697	-0.759383261	-1.232732534	0.152426794	-0.140296072
0	0.317498773	-1.01609838	-1.52190721	-0.136738315	-0.680724382
1	1.046825171	-0.059096515	-0.794797122	2.815263748	0.049917884
0	1.192367315	-1.111423731	-1.58380127	-0.36255759	-0.896637499
1	1.45804286	-0.499278247	-1.182399511	0.234048039	-0.670804322
0	0.572109222	-0.971413136	0.036785543	0.070504457	-0.622474909
1	0.532793343	-1.070686221	-0.896511912	-0.289599061	-0.88509357
0	1.633253574	0.549660802	-1.717426062	1.874231577	-0.02852942
1	0.601941228	-1.085118175	-0.102364689	-0.137932807	-0.868903279
0	1.434847951	-1.234862089	-1.566142797	-0.427788496	-0.680390954
1	2.000311852	-0.335041493	-0.790731311	1.696270466	-0.263041317
0	1.986708283	-1.380290151	-2.142357826	0.616869569	-0.852984905
1	1.145508528	0.078419119	-1.770165563	1.911576629	-0.579790235
0	1.048360825	-1.440065622	-1.780486107	0.412794769	-1.696217537
1	0.467862576	-0.45230633	-2.004034281	0.759210825	-0.744989097
0	0.801297307	-1.459616423	-2.342350483	0.589448988	-1.52005744
1	0.772668481	-0.634718478	-1.994764447	0.988085985	-1.41865468
0	1.03971827	-0.139776543	-2.074034929	1.522038341	-0.215441227
1	0.973936677	-1.418572068	-2.066742659	0.442656636	-1.216009617
0	0.505207598	-0.409672707	-2.181364536	0.406388164	-0.432545811
1	1.774439335	-0.672611594	-1.711349726	0.938542128	-1.092798829
0	1.378073454	-1.165117025	-0.690555096	0.020676255	-0.069716215
1	0.656569421	-0.715937078	-0.1472404	-0.288872421	0.581215978
0	0.025905311	-1.249500513	-0.586643815	0.047745168	-0.258049726
1	-0.31028825	-0.318054289	0.534799993	0.814323783	0.611339271
0	2.292837143	-1.412238598	-1.206696272	0.891283453	0.062027812
1	1.64951849	-1.535712242	-0.707465708	0.283543885	0.142559394
0	-0.247213423	-1.645256519	-0.520128131	-0.246913135	0.50464648
1	1.386559963	-0.248395011	0.222872555	-0.029938988	0.656902909
0	-0.119060993	-1.359802961	-0.469658673	-0.226953924	-0.21519655
1	0.384100378	-0.381194532	0.137573645	1.592005134	1.355769873
