label	ITGB6	MCM2	TNC	TAP2	TMEM164
1	4.050125122	0.196561217	2.460755825	1.99878788	0.760415435
0	1.513222456	-0.729848504	1.603593826	0.860349774	-0.747440338
1	-0.476065427	1.1846174	1.968714237	0.258084595	2.090204954
0	0.24687469	-0.480275154	1.967651606	0.881546497	-1.159809589
1	4.235836506	-0.145133719	2.076012135	2.3145082	0.693783641
0	0.663375974	-1.092739344	1.458308458	-1.437572241	-0.217550218
1	2.596264362	0.342201263	2.048480511	0.299961627	1.438203692
0	0.756125033	-0.971412301	1.733682394	-1.337947726	0.051712215
1	0.604905605	0.102063328	3.27174902	-0.650053501	1.622324705
0	0.902813017	-0.96433866	1.563054562	-1.982292771	-0.663924456
1	2.059459448	-0.152516648	2.921653271	-1.052175641	0.363654375
0	1.046852589	-0.833296537	1.457802176	-1.479691386	0.184782296
1	2.081189632	0.145388097	1.085935473	-0.387538314	0.472731858
0	0.729047418	-1.043764949	1.112174988	-1.570465803	-0.510201693
1	2.989871979	0.127100453	1.235045791	-0.2352321	0.266650826
0	0.722022176	-0.619811296	1.065152764	0.621848941	-1.000374317
1	2.135453701	-0.343841434	2.611959696	2.1534729	0.657634914
0	0.312527716	-0.945206344	1.092027187	0.823640406	-0.628234208
1	1.011352301	-0.272859633	2.436095238	1.107429981	-0.068593353
0	0.794669688	-0.902838171	1.337781549	0.758056879	-0.962531149
1	2.54434824	-0.040110949	1.04258728	1.401181102	0.255325735
0	0.083443046	-1.184935331	0.529040515	0.636363685	-0.782164395
1	1.311779022	0.2935628	1.474393129	1.728587508	-0.009963115
0	0.49407956	-0.844899654	0.792677164	0.690842628	-0.765401125
1	1.766404152	0.060488887	2.933126926	0.638329744	-0.187810898
0	0.827760339	-1.232673883	1.994931102	0.928245008	0.103700042
1	1.914542794	0.017682821	1.822479606	1.49337399	0.286456198
0	0.972652078	-1.21476841	1.194706917	0.753628552	-1.80076313
1	1.051414132	-0.067004085	2.399508715	1.524754524	0.537531495
0	0.785899639	-1.402921438	1.546961188	0.348938227	-1.049311519
1	2.798596621	0.346347421	3.08419919	1.956131577	0.908983648
0	0.835159838	-1.296224594	0.990542769	0.545431614	-1.236963153
1	1.707752347	-0.103207909	2.226666689	2.155227423	-0.121690474
0	1.14216876	-1.033479095	1.139527559	0.949386358	-0.84088707
1	0.427254647	-0.457559168	0.693002462	1.437922597	0.584725022
0	-0.203326046	-1.251603246	1.186276913	0.988626719	-0.405483127
1	0.934205055	-0.301919878	3.118517876	1.864348888	-0.085578635
0	0.025704056	-1.068050623	1.690948367	1.01605463	-1.001599312
1	1.373470068	-0.741312325	1.866305113	1.352118731	1.239983439
0	-0.017058194	-1.283365965	1.44751811	1.062145472	-1.178637981
1	2.380794048	-0.412034184	1.922545075	1.499212742	0.128745615
0	-0.205191255	-1.253643513	2.054120779	1.292408466	-0.982018471
1	2.095681906	-0.782125711	2.258502722	2.345669746	-2.831679583
0	0.042051226	-1.008024693	0.956357956	1.537997365	-1.1010952
1	1.382383585	-0.289459407	3.415576458	3.353089809	0.183873042
0	1.644516945	-0.559621453	1.420174122	1.280042052	-1.056228399
1	1.293293357	-0.118487015	1.939716101	1.339821577	0.158095017
0	0.735213757	-0.882058263	0.997766852	0.917897701	-1.155744553
1	0.87559998	-0.09634842	1.802090883	2.099542141	-0.778431118
0	1.389722109	-0.733336449	1.666517973	0.837527454	-1.779432654
1	1.757023573	0.281230688	1.605434418	1.300385714	-0.045122854
0	0.755096078	-0.781975985	1.805990577	1.169301033	-0.004158735
1	2.222708225	0.086620182	2.859422684	1.684621811	0.15561974
0	1.511705756	-0.40848875	0.901432216	0.831658363	-1.432227969
1	0.876603842	-0.618120074	3.013625622	1.488572478	-1.061737537
0	1.312304497	-1.047307372	0.404252261	0.609766185	-0.616138577
1	3.22437501	0.589437127	2.163095474	1.713585019	-0.151933089
0	1.522442102	-0.774959564	0.344939411	0.387729794	-0.226083755
1	3.51038456	-0.364330351	3.83888936	1.789144278	1.068077803
0	1.31445694	-0.880583167	0.658524394	0.483252913	-0.548171043
1	3.668326855	-0.545516074	2.763969898	0.495666921	-0.033062384
0	1.438143969	-1.002462864	0.473179311	0.494231075	-0.453592539
1	3.162819862	0.164805904	1.872450113	1.95575583	0.853636861
0	2.060482502	-0.780328274	0.70168668	1.227485418	-0.073430359
1	3.386044264	0.201110199	1.575102091	1.623695016	-0.143553466
0	0.255840391	-1.181683302	0.563020825	2.09533	-0.196906924
1	1.703639269	0.324359	2.218132019	1.912538767	0.641672492
0	0.362104177	-0.999489546	1.078245997	1.582513571	-0.608567238
1	2.531538963	0.112614721	1.611616135	2.933046103	0.653932393
0	0.670817375	-1.198408604	0.599277973	1.571054697	-0.306669652
1	2.605270863	-0.72876972	2.237766743	2.177998066	-1.909221292
0	0.553615332	-0.974980533	1.075728655	2.060977221	-0.546449482
1	0.525591493	-1.010968685	2.711290836	1.937720656	-0.692633033
0	0.375937968	-1.16359663	1.742762566	1.507837415	-0.381496817
1	1.703972697	-0.311891913	2.636086226	2.464023829	-0.927564263
0	1.427289605	-1.291717649	1.698039651	0.778165758	-1.865311265
1	3.526041269	0.401687354	2.991826057	2.14910984	0.279674649
0	1.092010021	-1.523614407	1.392559052	0.875337183	-1.398449183
1	2.860554934	-0.249249741	1.228484869	2.492139101	0.48649925
0	1.210931063	-1.566972375	1.676617026	0.756716609	-0.670595288
1	1.615009069	-0.915704429	2.987652063	0.435932428	-0.850342572
0	0.831528783	-1.728435636	0.764881253	0.57825309	-1.099287748
1	0.808137655	-0.193814844	2.032993078	1.066538572	-0.473331243
0	3.383014679	-0.965344787	2.709696054	1.403819799	-0.911142826
1	1.148680568	-1.552058578	1.091796279	0.882573545	0.467070103
0	0.349651396	-1.406600118	0.79627341	1.233970404	-0.459319234
1	1.183021069	-0.596760392	2.286756039	1.692950726	-0.657365799
0	0.913464665	-1.080787659	0.800989687	0.649670005	-0.702727318
1	2.183815718	-0.828534126	0.657417774	1.654528618	0.015905201
0	0.020454586	-1.618784666	1.433055639	0.306916982	-0.850187838
